KRT16P4,ENSG00000229526
HOXC10,ENSG00000180818
C12ORF43,ENSG00000157895
SMPD3,ENSG00000103056
SMPD2,ENSG00000135587
PINK1-AS,ENSG00000117242
ATIC,ENSG00000138363
SMPD4,ENSG00000136699
SMPD1,ENSG00000166311
TCP11L1,ENSG00000176148
TCP11L2,ENSG00000166046
RPL37P1,ENSG00000227401
C19ORF12,ENSG00000131943
C19ORF18,ENSG00000177025
ENOPH1,ENSG00000145293
LIN52,ENSG00000205659
GATD1,ENSG00000177225
MIR646HG,ENSG00000228340
USP8P1,ENSG00000214892
C12ORF50,ENSG00000165805
C12ORF54,ENSG00000177627
CDC20B,ENSG00000164287
PHF20L1,ENSG00000129292
C19ORF25,ENSG00000119559
SAMD5,ENSG00000203727
SAMD7,ENSG00000187033
SAMD8,ENSG00000156671
RNU6-1086P,ENSG00000222862
SAMD9,ENSG00000205413
ATL3,ENSG00000184743
ATL1,ENSG00000198513
FAXC,ENSG00000146267
ATL2,ENSG00000119787
CYMP-AS1,ENSG00000235407
WRN,ENSG00000165392
CNPY4,ENSG00000166997
RPL10AP3,ENSG00000215264
SAMD1,ENSG00000141858
UNCX,ENSG00000164853
TMEM270,ENSG00000175877
WTIP,ENSG00000142279
FAM200A,ENSG00000221909
ACTN4P1,ENSG00000213493
WT1,ENSG00000184937
SLMAP,ENSG00000163681
C12ORF29,ENSG00000133641
RPL24P2,ENSG00000235065
HNRNPA1P6,ENSG00000290536
EBAG9,ENSG00000147654
RPL24P4,ENSG00000181524
RPL24P7,ENSG00000215016
LIMS2,ENSG00000072163
LIMS1,ENSG00000169756
RNU6-125P,ENSG00000207234
MPV17L,ENSG00000156968
ATN1,ENSG00000111676
LTN1,ENSG00000198862
FAM204A,ENSG00000165669
HHAT,ENSG00000054392
CEP250,ENSG00000126001
CYP2T1P,ENSG00000233622
RNU6-258P,ENSG00000212186
EIF1AY,ENSG00000198692
EIF1AX,ENSG00000173674
ADIPOQ,ENSG00000181092
CNPY1,ENSG00000146910
CNPY3,ENSG00000137161
CDC25C,ENSG00000158402
NCCRP1,ENSG00000188505
CDC25A,ENSG00000164045
CDC25B,ENSG00000101224
TPST2,ENSG00000128294
TPST1,ENSG00000169902
SHC4,ENSG00000185634
CD274,ENSG00000120217
SHC2,ENSG00000129946
LINC01013,ENSG00000228495
SHC3,ENSG00000148082
SHC1,ENSG00000160691
LIN7C,ENSG00000148943
LIN7B,ENSG00000104863
EIF1AD,ENSG00000175376
TKFC,ENSG00000149476
EIF4EBP1,ENSG00000187840
EIF4EBP2,ENSG00000148730
CD276,ENSG00000103855
LINC02331,ENSG00000235269
HHATL,ENSG00000010282
C1ORF220,ENSG00000213057
C1ORF216,ENSG00000142686
TSPY26P,ENSG00000235217
MT-CYB,ENSG00000198727
SHBG,ENSG00000129214
OR7A10,ENSG00000127515
LRGUK,ENSG00000155530
LEAP2,ENSG00000164406
MCMDC2,ENSG00000178460
AKAP8L,ENSG00000011243
TSPAN12,ENSG00000106025
TSPAN11,ENSG00000110900
TSPAN10,ENSG00000182612
HHEX,ENSG00000152804
C6ORF226,ENSG00000221821
TAGAP,ENSG00000164691
CEP290,ENSG00000198707
UNKL,ENSG00000059145
RNU6-387P,ENSG00000223263
OR7A17,ENSG00000185385
APAF1,ENSG00000120868
CEP295,ENSG00000166004
ATRX,ENSG00000085224
SEZ6L,ENSG00000100095
ATRN,ENSG00000088812
TMBIM4,ENSG00000155957
HAND1,ENSG00000113196
TMBIM1,ENSG00000135926
TMBIM6,ENSG00000139644
PRPS2,ENSG00000101911
PRPS1,ENSG00000147224
PBXIP1,ENSG00000163346
TSPAN33,ENSG00000158457
TSPAN32,ENSG00000064201
TSPAN31,ENSG00000135452
KCTD20,ENSG00000112078
KCTD21,ENSG00000188997
PCDH1,ENSG00000156453
MARCKSL1,ENSG00000175130
PCDH9,ENSG00000184226
PCDH7,ENSG00000169851
SYT16,ENSG00000139973
KIAA1549L,ENSG00000110427
SYT15,ENSG00000204176
SYT14,ENSG00000143469
FAM209B,ENSG00000213714
FAM209A,ENSG00000124103
SYT13,ENSG00000019505
REC8,ENSG00000100918
SUGCT,ENSG00000175600
SYT17,ENSG00000103528
TSPAN16,ENSG00000130167
TSPAN15,ENSG00000099282
TSPAN14,ENSG00000108219
TSPAN13,ENSG00000106537
SYT12,ENSG00000173227
TSPAN19,ENSG00000231738
SYT11,ENSG00000132718
TSPAN18,ENSG00000157570
TSPAN17,ENSG00000048140
CD247,ENSG00000198821
PIK3AP1,ENSG00000155629
RECK,ENSG00000122707
LTV1,ENSG00000135521
DMGDH,ENSG00000132837
SMARCAL1,ENSG00000138375
HHIP,ENSG00000164161
NUDT1,ENSG00000106268
NUDT2,ENSG00000164978
RPS3AP23,ENSG00000218351
NUDT5,ENSG00000165609
RPS3AP24,ENSG00000217684
NUDT6,ENSG00000170917
IL27RA,ENSG00000104998
NUDT4,ENSG00000173598
RPS3AP25,ENSG00000232385
RPS3AP26,ENSG00000214389
MFSD2B,ENSG00000205639
MFSD2A,ENSG00000168389
KCTD19,ENSG00000168676
RIIAD1,ENSG00000178796
MFSD11,ENSG00000092931
LMO7DN-IT1,ENSG00000223458
MFSD12,ENSG00000161091
MFSD10,ENSG00000109736
ARGFX,ENSG00000186103
KCTD10,ENSG00000110906
KCTD13,ENSG00000174943
KCTD14,ENSG00000151364
CD226,ENSG00000150637
KCTD11,ENSG00000288399
KCTD12,ENSG00000178695
MGARP,ENSG00000137463
KCTD17,ENSG00000100379
OR5A2,ENSG00000172324
BCORL1,ENSG00000085185
OR5A1,ENSG00000172320
KCTD18,ENSG00000155729
KCTD15,ENSG00000153885
KCTD16,ENSG00000183775
USHBP1,ENSG00000130307
FBF1,ENSG00000188878
LPAR1,ENSG00000198121
LPAR2,ENSG00000064547
LPAR3,ENSG00000171517
LPAR4,ENSG00000147145
RPS3AP46,ENSG00000226132
RPS3AP44,ENSG00000234031
MBTD1,ENSG00000011258
CEP192,ENSG00000101639
STAT5A,ENSG00000126561
STAT5B,ENSG00000173757
RNU6-384P,ENSG00000201770
RNU6-251P,ENSG00000200105
RPS12P24,ENSG00000230283
REG4,ENSG00000134193
GREB1,ENSG00000196208
OSGIN1,ENSG00000140961
BSDC1,ENSG00000160058
OSGIN2,ENSG00000164823
LINC02291,ENSG00000197176
NTAN1,ENSG00000275779
RPS3AP38,ENSG00000226318
AIMP1,ENSG00000164022
AIMP2,ENSG00000106305
ALDH6A1,ENSG00000119711
RPS3AP36,ENSG00000214362
RPS3AP37,ENSG00000227583
UBAC2-AS1,ENSG00000228889
LPAR5,ENSG00000184574
LPAR6,ENSG00000139679
CD207,ENSG00000116031
KYAT3,ENSG00000137944
KYAT1,ENSG00000286112
MRAP2,ENSG00000135324
RPS12P18,ENSG00000232965
CD200,ENSG00000091972
SUGP2,ENSG00000064607
RPS12P17,ENSG00000233163
SUGP1,ENSG00000105705
DHRS12,ENSG00000102796
WFDC8,ENSG00000158901
DHRS13,ENSG00000167536
WFDC9,ENSG00000180205
IL20,ENSG00000162891
IL24,ENSG00000162892
WT1-AS,ENSG00000183242
WFDC1,ENSG00000103175
IL27,ENSG00000197272
WFDC5,ENSG00000175121
WFDC2,ENSG00000101443
B3GNTL1,ENSG00000175711
SH3RF1,ENSG00000154447
WFDC3,ENSG00000124116
AKAP12,ENSG00000131016
AKAP13,ENSG00000170776
AKAP10,ENSG00000108599
AKAP11,ENSG00000023516
AKAP14,ENSG00000186471
SVIL-AS1,ENSG00000291093
SPTAN1,ENSG00000197694
OXGR1,ENSG00000165621
IL10,ENSG00000136634
IL11,ENSG00000095752
PRORSD1P,ENSG00000162997
ATMIN,ENSG00000166454
IL15,ENSG00000164136
PABPC4,ENSG00000090621
IL13,ENSG00000169194
PABPC5,ENSG00000174740
IL18,ENSG00000150782
IL16,ENSG00000172349
IL1A,ENSG00000115008
RPS24P12,ENSG00000220237
NCBP2L,ENSG00000170935
IL1B,ENSG00000125538
PABPC3,ENSG00000151846
RNU1-91P,ENSG00000201616
PABPC1,ENSG00000070756
TAGLN,ENSG00000149591
RELA,ENSG00000173039
RELB,ENSG00000104856
MFSD4A,ENSG00000174514
RELN,ENSG00000189056
PDZD11,ENSG00000120509
MGAT5,ENSG00000152127
MGAT3,ENSG00000128268
SHOX,ENSG00000185960
MGAT1,ENSG00000131446
NENFP1,ENSG00000233647
MGAT2,ENSG00000168282
XDH,ENSG00000158125
RELT,ENSG00000054967
MFSD4B,ENSG00000173214
REM2,ENSG00000139890
IL32,ENSG00000008517
IL33,ENSG00000137033
PNPLA7,ENSG00000130653
PNPLA8,ENSG00000135241
IL37,ENSG00000125571
IL34,ENSG00000157368
VEGFB,ENSG00000173511
PCDHB15,ENSG00000113248
VEGFC,ENSG00000150630
PCDHB14,ENSG00000120327
VEGFD,ENSG00000165197
PCDHB13,ENSG00000187372
PCDHB12,ENSG00000120328
PCDHB11,ENSG00000197479
PCDHB10,ENSG00000120324
VEGFA,ENSG00000112715
SH3RF3,ENSG00000172985
NUDT9,ENSG00000170502
SH3RF2,ENSG00000156463
KITLG,ENSG00000049130
NUDT7,ENSG00000140876
MIS18A,ENSG00000159055
NUDT8,ENSG00000167799
HNRNPA2B1,ENSG00000122566
OTULIN,ENSG00000154124
PNPLA3,ENSG00000100344
PNPLA4,ENSG00000006757
CCNYL1,ENSG00000163249
AGGF1,ENSG00000164252
PNPLA6,ENSG00000032444
RNU1-93P,ENSG00000201574
KIAA1958,ENSG00000165185
PNPLA1,ENSG00000180316
PNPLA2,ENSG00000177666
UBE3C,ENSG00000009335
ZFAND4,ENSG00000172671
UBE3D,ENSG00000118420
ZFAND3,ENSG00000156639
ZFAND6,ENSG00000086666
ZFAND5,ENSG00000107372
UBE3A,ENSG00000114062
ZFAND1,ENSG00000104231
TMEM260,ENSG00000070269
UBE3B,ENSG00000151148
UBE2Z,ENSG00000159202
TMEM262,ENSG00000187066
TMEM263,ENSG00000151135
TMEM266,ENSG00000169758
TMEM267,ENSG00000151881
TMEM268,ENSG00000157693
IL6R,ENSG00000160712
GEN1,ENSG00000178295
TPTE2,ENSG00000132958
IL4R,ENSG00000077238
UBE4A,ENSG00000110344
UBE4B,ENSG00000130939
POU3F1,ENSG00000185668
POU3F2,ENSG00000184486
POU3F3,ENSG00000198914
TMEM253,ENSG00000232070
TMEM254,ENSG00000133678
TMEM256,ENSG00000283771
SHQ1,ENSG00000144736
TMEM258,ENSG00000134825
MAP7D3,ENSG00000129680
TMEM259,ENSG00000182087
MAP7D1,ENSG00000116871
SHPK,ENSG00000262304
EHBP1L1,ENSG00000173442
MAP7D2,ENSG00000184368
SIDT1,ENSG00000072858
SIDT2,ENSG00000149577
FBN2,ENSG00000138829
FBN3,ENSG00000142449
CACNA1A,ENSG00000141837
CACNA1C,ENSG00000151067
CACNA1F,ENSG00000102001
HOXB13,ENSG00000159184
CACNA1E,ENSG00000198216
TMEM240,ENSG00000205090
TMEM241,ENSG00000134490
C20ORF144,ENSG00000149609
TMEM242,ENSG00000215712
CACNA1G,ENSG00000006283
TMEM243,ENSG00000135185
CACNA1I,ENSG00000100346
TMEM244,ENSG00000203756
TMEM245,ENSG00000106771
TMEM247,ENSG00000284701
TMEM248,ENSG00000106609
DHRS7B,ENSG00000109016
CACNA1S,ENSG00000081248
MFAP3L,ENSG00000198948
TFAP2A,ENSG00000137203
UBE2F,ENSG00000184182
HAUS6P1,ENSG00000227344
PDHA2,ENSG00000163114
TFAP2C,ENSG00000087510
UBE2H,ENSG00000186591
PDHA1,ENSG00000131828
UBE2I,ENSG00000103275
VCAM1,ENSG00000162692
UBE2B,ENSG00000119048
TFAP2E,ENSG00000116819
UBE2C,ENSG00000175063
UBE2A,ENSG00000077721
TJAP1,ENSG00000137221
TMEM230,ENSG00000089063
TMEM231,ENSG00000205084
TMEM232,ENSG00000186952
UBE2W,ENSG00000104343
TMEM233,ENSG00000224982
TMEM234,ENSG00000160055
RNY1P1,ENSG00000201242
TMEM236,ENSG00000148483
UBE2S,ENSG00000108106
TMEM237,ENSG00000155755
TMEM238,ENSG00000233493
UBE2T,ENSG00000077152
BHLHE40,ENSG00000134107
UBE2U,ENSG00000177414
MANSC4,ENSG00000205693
TMEM239,ENSG00000198326
UBE2N,ENSG00000177889
UBE2O,ENSG00000175931
MANSC1,ENSG00000111261
IL7R,ENSG00000168685
MXD1,ENSG00000059728
UBE2K,ENSG00000078140
RNY1P8,ENSG00000206697
MXD3,ENSG00000213347
FBN1,ENSG00000166147
MXD4,ENSG00000123933
RERE,ENSG00000142599
PHTF2,ENSG00000006576
PHTF1,ENSG00000116793
RERG,ENSG00000134533
TMEM220,ENSG00000187824
TMEM221,ENSG00000188051
TMEM222,ENSG00000186501
TMEM223,ENSG00000168569
RASGEF1A,ENSG00000198915
MAN1A2,ENSG00000198162
RNU2-32P,ENSG00000223125
RASGEF1B,ENSG00000138670
RASGEF1C,ENSG00000146090
DACT3,ENSG00000197380
MAN1A1,ENSG00000111885
ARFGEF3,ENSG00000112379
SNTA1,ENSG00000101400
DACT1,ENSG00000165617
SLC12A5-AS1,ENSG00000204044
RPS3AP53,ENSG00000227578
NAMPTP1,ENSG00000229644
RNU6-1081P,ENSG00000207267
TMEM210,ENSG00000185863
GREM1,ENSG00000276886
TMEM212,ENSG00000186329
TMEM213,ENSG00000214128
RER1,ENSG00000157916
TMEM214,ENSG00000119777
DPPA4,ENSG00000121570
SETBP1,ENSG00000152217
TMEM216,ENSG00000187049
DPPA2,ENSG00000163530
TMEM217,ENSG00000172738
TMEM218,ENSG00000150433
TMEM219,ENSG00000149932
MAN1B1,ENSG00000177239
DPPA5,ENSG00000203909
FBP1,ENSG00000165140
IL9R,ENSG00000124334
FBP2,ENSG00000130957
RAP1GDS1,ENSG00000138698
RETN,ENSG00000104918
TMEM201,ENSG00000188807
PABPN1,ENSG00000100836
TMEM203,ENSG00000187713
TMEM204,ENSG00000131634
MKNK1,ENSG00000079277
TMEM205,ENSG00000105518
MKNK2,ENSG00000099875
MXI1,ENSG00000119950
C19ORF73,ENSG00000221916
MAN1C1,ENSG00000117643
TMEM208,ENSG00000168701
TMEM209,ENSG00000146842
FBRS,ENSG00000156860
ARFGEF1,ENSG00000066777
ARFGEF2,ENSG00000124198
RAMP2-AS1,ENSG00000197291
ZNF804B,ENSG00000182348
ZNF804A,ENSG00000170396
ZNF300P1,ENSG00000291115
NRSN2-AS1,ENSG00000225377
SLC50A1,ENSG00000169241
REST,ENSG00000084093
C19ORF81,ENSG00000235034
RNU2-33P,ENSG00000222276
KRAS,ENSG00000133703
SUGT1,ENSG00000165416
SNTB1,ENSG00000172164
SNTB2,ENSG00000260873
MAP10,ENSG00000212916
C2ORF88,ENSG00000187699
EMC10,ENSG00000161671
EMBP1,ENSG00000291141
NYNRIN,ENSG00000205978
RNU2-36P,ENSG00000222293
DLEU1,ENSG00000176124
CDK5RAP1,ENSG00000101391
DLEU2,ENSG00000231607
DSCAM-AS1,ENSG00000235123
C2ORF83,ENSG00000290795
CDK5RAP3,ENSG00000108465
PROK1,ENSG00000143125
DLEU7,ENSG00000186047
CDK5RAP2,ENSG00000136861
C2ORF80,ENSG00000188674
MAP1S,ENSG00000130479
GTPBP6,ENSG00000178605
REV1,ENSG00000135945
SCRIB,ENSG00000274287
GTPBP8,ENSG00000163607
GTPBP2,ENSG00000172432
GTPBP1,ENSG00000100226
GTPBP4,ENSG00000107937
GTPBP3,ENSG00000130299
ZC2HC1C,ENSG00000119703
ZC2HC1B,ENSG00000118491
ZC2HC1A,ENSG00000104427
MAP1B,ENSG00000131711
PLEKHS1,ENSG00000148735
MAP1A,ENSG00000166963
RPL23P2,ENSG00000176054
RPL23P4,ENSG00000223903
RPL23P8,ENSG00000219451
CTBP2,ENSG00000175029
PPP1R8P1,ENSG00000224986
CTBP1,ENSG00000159692
NAIF1,ENSG00000171169
XPA,ENSG00000136936
XPC,ENSG00000154767
RPS4Y1,ENSG00000129824
PCDHA1,ENSG00000204970
PCDHA5,ENSG00000204965
HMOX1,ENSG00000100292
GSG1L,ENSG00000169181
PCDHA4,ENSG00000204967
PCDHA2,ENSG00000204969
PROM1,ENSG00000007062
PCDHA9,ENSG00000204961
PCDHA8,ENSG00000204962
HMOX2,ENSG00000103415
PCDHA7,ENSG00000204963
PROM2,ENSG00000155066
PCDHA6,ENSG00000081842
BARD1,ENSG00000138376
TPRG1,ENSG00000188001
SETD1B,ENSG00000139718
SETD1A,ENSG00000099381
IRF2BP1,ENSG00000170604
IRF2BP2,ENSG00000168264
RNU2-37P,ENSG00000222627
PCDHB2,ENSG00000112852
PCDHB1,ENSG00000171815
PCDHB4,ENSG00000081818
MMS19,ENSG00000155229
PCDHB3,ENSG00000113205
PCDHB9,ENSG00000177839
HSPA8P7,ENSG00000224773
HSPA8P8,ENSG00000229091
KRI1,ENSG00000129347
PPP1R12BP1,ENSG00000229238
SPOUT1,ENSG00000198917
TAF7L,ENSG00000102387
MTATP6P7,ENSG00000232990
PLEKHN1,ENSG00000187583
SMAD5-AS1,ENSG00000164621
BRD7P2,ENSG00000184100
TERF1,ENSG00000147601
TERF2,ENSG00000132604
NCOR2,ENSG00000196498
FAM210B,ENSG00000124098
TAF6L,ENSG00000162227
FAM210A,ENSG00000177150
NCOR1,ENSG00000141027
AEBP2,ENSG00000139154
HSPA8P1,ENSG00000234176
SF3A3P1,ENSG00000230568
HSPA8P3,ENSG00000234788
PLEKHO1,ENSG00000023902
RNU2-39P,ENSG00000222536
CDC123,ENSG00000151465
PSPC1P1,ENSG00000227879
NDUFA4L2,ENSG00000185633
RPL36P1,ENSG00000230636
TAF9B,ENSG00000187325
SIAE,ENSG00000110013
RUNX1T1,ENSG00000079102
YTHDF1,ENSG00000149658
YTHDF2,ENSG00000198492
YTHDF3,ENSG00000185728
CSNK1A1,ENSG00000113712
RNU6-1099P,ENSG00000200403
SYNJ2BP,ENSG00000213463
MKLN1,ENSG00000128585
SMOC2,ENSG00000112562
SMOC1,ENSG00000198732
CYP20A1,ENSG00000119004
NUCB1,ENSG00000104805
TMEM39A,ENSG00000176142
TMEM39B,ENSG00000121775
SCRG1,ENSG00000164106
NUCB2,ENSG00000070081
CEP126,ENSG00000110318
MTFMT,ENSG00000103707
OXNAD1,ENSG00000154814
TXNL4B,ENSG00000140830
RNU6-137P,ENSG00000200550
PLXND1,ENSG00000004399
PROS1,ENSG00000184500
CEP120,ENSG00000168944
AUP1,ENSG00000115307
CDC14C,ENSG00000218305
VIRMA,ENSG00000164944
CDC14A,ENSG00000079335
FAM216B,ENSG00000179813
CDC14B,ENSG00000081377
CEP128,ENSG00000100629
HID1,ENSG00000167861
FAM216A,ENSG00000204856
SALL1,ENSG00000103449
SALL2,ENSG00000165821
SALL4,ENSG00000101115
PHYHD1,ENSG00000175287
PLXNC1,ENSG00000136040
TXNL4A,ENSG00000141759
SNRNP35,ENSG00000184209
PLEKHJ1,ENSG00000104886
RARS2,ENSG00000146282
CSNK1G3,ENSG00000151292
TLE3,ENSG00000140332
TLE2,ENSG00000065717
SUPT16H,ENSG00000092201
TLE1,ENSG00000196781
CEP135,ENSG00000174799
MTCO3P10,ENSG00000231537
HARBI1,ENSG00000180423
CEP131,ENSG00000141577
SPICE1,ENSG00000285943
VRK1,ENSG00000100749
VRK2,ENSG00000028116
PRELID1P1,ENSG00000217325
VRK3,ENSG00000105053
ILF2,ENSG00000143621
HIC1,ENSG00000177374
TLE6,ENSG00000104953
HIC2,ENSG00000169635
ILF3,ENSG00000129351
LTB4R2,ENSG00000213906
SNRPG,ENSG00000143977
SNRNP27,ENSG00000124380
MTCO3P16,ENSG00000227736
SNRPE,ENSG00000182004
SNRPF,ENSG00000139343
SNRNP25,ENSG00000161981
MTCO3P18,ENSG00000227661
SNRPC,ENSG00000124562
MTCO3P12,ENSG00000198744
CSNK1G2,ENSG00000133275
SNRPA,ENSG00000077312
SNRPB,ENSG00000125835
CSNK1G1,ENSG00000169118
CEP104,ENSG00000116198
MTCO3P20,ENSG00000225557
MTCO3P21,ENSG00000232752
FAM114A1,ENSG00000197712
FAM114A2,ENSG00000055147
AEBP1,ENSG00000106624
BOLA2B,ENSG00000261740
DDRGK1,ENSG00000198171
PLXNA2,ENSG00000076356
PLXNA1,ENSG00000114554
MTCO3P29,ENSG00000228069
PLXNA4,ENSG00000221866
PLXNA3,ENSG00000130827
EIF2B5,ENSG00000145191
LINC02210,ENSG00000204650
EIF2B4,ENSG00000115211
SEC16B,ENSG00000254154
CEP112,ENSG00000154240
EIF2B3,ENSG00000070785
MTCO3P31,ENSG00000217044
EIF2B2,ENSG00000119718
SEC16A,ENSG00000148396
M6PR,ENSG00000003056
FAM217A,ENSG00000145975
GFAP,ENSG00000131095
FAM217B,ENSG00000196227
LRFN3,ENSG00000126243
LRFN4,ENSG00000173621
LRFN1,ENSG00000128011
PLXNB3,ENSG00000198753
PLEKHM1,ENSG00000276358
PLEKHM2,ENSG00000116786
PLXNB2,ENSG00000196576
PLXNB1,ENSG00000164050
ADORA2A-AS1,ENSG00000178803
PLEKHM3,ENSG00000178385
PLEKHF2,ENSG00000175895
MTCO3P40,ENSG00000228046
PLEKHF1,ENSG00000166289
MTCO3P43,ENSG00000227788
RPS12P10,ENSG00000225147
RPL10P1,ENSG00000217026
RPL10P2,ENSG00000174572
CEP164,ENSG00000110274
PIK3C2G,ENSG00000139144
PIK3C2A,ENSG00000011405
FCAR,ENSG00000284061
PIK3C2B,ENSG00000133056
SCRN1,ENSG00000136193
SNRNP70,ENSG00000104852
PIP5KL1,ENSG00000167103
SCRN3,ENSG00000144306
SCRN2,ENSG00000141295
TLK2,ENSG00000146872
RPL10P3,ENSG00000230734
TLK1,ENSG00000198586
CEP170,ENSG00000143702
RPL10P6,ENSG00000230076
EIF2B1,ENSG00000111361
RNU6-399P,ENSG00000202034
MTCO3P45,ENSG00000232128
RPL10P9,ENSG00000233913
RFC5,ENSG00000111445
PLEKHG3,ENSG00000126822
PLEKHG4,ENSG00000196155
RFC3,ENSG00000133119
PLEKHG1,ENSG00000120278
RFC4,ENSG00000163918
PLEKHG2,ENSG00000090924
RFC1,ENSG00000035928
PLEKHG7,ENSG00000187510
RFC2,ENSG00000049541
PLEKHG5,ENSG00000171680
PLEKHG6,ENSG00000008323
FAM219B,ENSG00000178761
FAM219A,ENSG00000164970
CATSPERZ,ENSG00000219435
KRTAP19-8,ENSG00000206102
FOXD4L5,ENSG00000204779
CATSPERB,ENSG00000274338
CATSPERE,ENSG00000179397
CATSPERD,ENSG00000174898
CATSPERG,ENSG00000099338
OR7E102P,ENSG00000168992
MTFR1,ENSG00000066855
ALMS1-IT1,ENSG00000230002
MTFR2,ENSG00000146410
FOXD4L1,ENSG00000184492
RNU6-398P,ENSG00000206870
RNU6-132P,ENSG00000206590
CATSPER1,ENSG00000175294
CATSPER3,ENSG00000152705
PLEKHH2,ENSG00000152527
PLEKHH3,ENSG00000068137
CATSPER2,ENSG00000166762
CATSPER4,ENSG00000188782
SELENBP1,ENSG00000143416
P2RY6,ENSG00000171631
P2RY4,ENSG00000186912
P2RY2,ENSG00000175591
P2RY1,ENSG00000169860
RNU6-268P,ENSG00000201044
RFFL,ENSG00000092871
SEC11A,ENSG00000140612
PLEKHH1,ENSG00000054690
SEC11C,ENSG00000166562
ANGPT4,ENSG00000101280
PPIL1,ENSG00000137168
ANGPT2,ENSG00000091879
PPIL2,ENSG00000100023
ANGPT1,ENSG00000154188
KRR1,ENSG00000111615
CEP152,ENSG00000103995
TPRKB,ENSG00000144034
GFER,ENSG00000127554
P2RX7,ENSG00000089041
P2RX6,ENSG00000099957
P2RX5,ENSG00000083454
SNRNP40,ENSG00000060688
P2RX4,ENSG00000135124
KIAA0586,ENSG00000100578
TLL2,ENSG00000095587
CEP162,ENSG00000135315
TLL1,ENSG00000038295
SNRNP48,ENSG00000168566
PPIL4,ENSG00000131013
PPIL6,ENSG00000185250
RNU6-395P,ENSG00000202532
RNU6-262P,ENSG00000222249
GFI1,ENSG00000162676
FCF1,ENSG00000119616
TPRXL,ENSG00000180438
RPL36AL,ENSG00000165502
DZIP1L,ENSG00000158163
SIL1,ENSG00000120725
VRTN,ENSG00000133980
LMLN-AS1,ENSG00000232832
IL15RA,ENSG00000134470
LINC02154,ENSG00000235385
KRT4,ENSG00000170477
KRT3,ENSG00000186442
KRT2,ENSG00000172867
KRT1,ENSG00000167768
KRT8,ENSG00000170421
FLT3LG,ENSG00000090554
KRT7,ENSG00000135480
DLEC1,ENSG00000008226
KRT5,ENSG00000186081
KRT9,ENSG00000171403
SIK3,ENSG00000160584
SIK1,ENSG00000142178
TLN2,ENSG00000171914
SIK2,ENSG00000170145
TLN1,ENSG00000137076
SPTBN4,ENSG00000160460
SPTBN5,ENSG00000137877
FUT10,ENSG00000172728
PGAM1P6,ENSG00000224464
FUT11,ENSG00000196968
LINC02181,ENSG00000232190
HTATSF1,ENSG00000102241
C2ORF27A,ENSG00000287151
TP53BP2,ENSG00000143514
TP53BP1,ENSG00000067369
CCR10,ENSG00000184451
SPTBN1,ENSG00000115306
RNU6-131P,ENSG00000212446
SPTBN2,ENSG00000173898
RNU6-396P,ENSG00000202239
SETDB1,ENSG00000143379
SETDB2,ENSG00000136169
PYCR1,ENSG00000183010
PYCR2,ENSG00000143811
PYCR3,ENSG00000276657
SNORA74C-2,ENSG00000288603
CCSER2,ENSG00000107771
CCSER1,ENSG00000184305
SIM1,ENSG00000112246
SIM2,ENSG00000159263
RNU6-130P,ENSG00000223044
CD320,ENSG00000167775
TOP2A,ENSG00000131747
FTH1P10,ENSG00000223361
TOP2B,ENSG00000077097
GFM1,ENSG00000168827
HIP1,ENSG00000127946
CITED1,ENSG00000125931
CITED2,ENSG00000164442
GFM2,ENSG00000164347
CITED4,ENSG00000179862
LIMD1,ENSG00000144791
LIMD2,ENSG00000136490
SH3PXD2A,ENSG00000107957
SH3PXD2B,ENSG00000174705
RPS5P3,ENSG00000215088
RPS5P2,ENSG00000224598
OR4D9,ENSG00000172742
RPS5P7,ENSG00000225381
SUPT20HL1,ENSG00000223731
SUPT20HL2,ENSG00000223611
TOP3B,ENSG00000100038
KIZ-AS1,ENSG00000232712
PSENEN,ENSG00000205155
FTH1P22,ENSG00000225079
OR4D1,ENSG00000141194
IZUMO2,ENSG00000161652
IZUMO4,ENSG00000099840
FTH1P25,ENSG00000232792
IZUMO1,ENSG00000182264
TOP3A,ENSG00000177302
PROX2,ENSG00000119608
PROX1,ENSG00000117707
CBFA2T2,ENSG00000078699
CBFA2T3,ENSG00000129993
LIME1,ENSG00000203896
IFNNP1,ENSG00000230208
TLR1,ENSG00000174125
ALDH5A1,ENSG00000112294
MIR17HG,ENSG00000215417
TLR7,ENSG00000196664
TLR6,ENSG00000174130
OR4C6,ENSG00000181903
TLR5,ENSG00000187554
VGLL2,ENSG00000170162
TLR4,ENSG00000136869
VGLL1,ENSG00000102243
TLR3,ENSG00000164342
VGLL4,ENSG00000144560
TLR2,ENSG00000137462
VGLL3,ENSG00000206538
GUCY2C,ENSG00000070019
GUCY2D,ENSG00000132518
RNU6-260P,ENSG00000206819
RFNG,ENSG00000169733
GUCY2F,ENSG00000101890
PHYHIP,ENSG00000168490
HIRA,ENSG00000100084
KIAA0513,ENSG00000135709
LIMA1,ENSG00000050405
APBB2,ENSG00000163697
APBB1,ENSG00000166313
APBB3,ENSG00000113108
LINC02138,ENSG00000205015
SORBS2,ENSG00000154556
SORBS1,ENSG00000095637
SORBS3,ENSG00000120896
ENO1-AS1,ENSG00000230679
CLNS1AP1,ENSG00000213335
APBA1,ENSG00000107282
APBA3,ENSG00000011132
FCN3,ENSG00000142748
FCMR,ENSG00000162894
RASEF,ENSG00000165105
OR2T12,ENSG00000177201
